timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1574931402619,177,Save API HTTP Request,200,OK,1. Save API 1-4,text,true,,287,16846,5,5,http://localhost:3343/api/v1/save,177,0,1
1574931402520,286,Save API HTTP Request,200,OK,1. Save API 1-3,text,true,,287,16846,5,5,http://localhost:3343/api/v1/save,286,0,1
1574931402720,92,Save API HTTP Request,200,OK,1. Save API 1-5,text,true,,287,16846,5,5,http://localhost:3343/api/v1/save,92,0,1
1574931402422,402,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16846,5,5,http://localhost:3343/api/v1/save,402,0,1
1574931402389,442,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16846,5,5,http://localhost:3343/api/v1/save,442,0,17
1574931402814,59,Save API HTTP Request,200,OK,1. Save API 1-4,text,true,,287,16846,6,6,http://localhost:3343/api/v1/save,59,0,0
1574931402814,59,Save API HTTP Request,200,OK,1. Save API 1-3,text,true,,287,16846,6,6,http://localhost:3343/api/v1/save,59,0,0
1574931402832,44,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16846,6,6,http://localhost:3343/api/v1/save,44,0,0
1574931402814,66,Save API HTTP Request,200,OK,1. Save API 1-5,text,true,,287,16846,6,6,http://localhost:3343/api/v1/save,66,0,0
1574931402825,67,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16846,6,6,http://localhost:3343/api/v1/save,67,0,0
1574931402863,110,Save API HTTP Request,200,OK,1. Save API 1-6,text,true,,287,16846,7,7,http://localhost:3343/api/v1/save,110,0,1
1574931402877,101,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16846,7,7,http://localhost:3343/api/v1/save,101,0,0
1574931402894,97,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16846,7,7,http://localhost:3343/api/v1/save,97,0,0
1574931402874,121,Save API HTTP Request,200,OK,1. Save API 1-3,text,true,,287,16846,7,7,http://localhost:3343/api/v1/save,121,0,0
1574931402881,118,Save API HTTP Request,200,OK,1. Save API 1-5,text,true,,287,16846,7,7,http://localhost:3343/api/v1/save,118,0,0
1574931402874,133,Save API HTTP Request,200,OK,1. Save API 1-4,text,true,,287,16846,7,7,http://localhost:3343/api/v1/save,133,0,0
1574931402941,76,Save API HTTP Request,200,OK,1. Save API 1-7,text,true,,287,16846,7,7,http://localhost:3343/api/v1/save,76,0,1
1574931402974,116,Save API HTTP Request,200,OK,1. Save API 1-6,text,true,,287,16846,8,8,http://localhost:3343/api/v1/save,116,0,0
1574931402979,120,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16846,8,8,http://localhost:3343/api/v1/save,120,0,0
1574931403000,137,Save API HTTP Request,200,OK,1. Save API 1-5,text,true,,287,16846,9,9,http://localhost:3343/api/v1/save,137,0,0
1574931402996,145,Save API HTTP Request,200,OK,1. Save API 1-3,text,true,,287,16846,9,9,http://localhost:3343/api/v1/save,145,0,0
1574931402992,163,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16846,9,9,http://localhost:3343/api/v1/save,163,0,0
1574931403008,159,Save API HTTP Request,200,OK,1. Save API 1-4,text,true,,287,16846,9,9,http://localhost:3343/api/v1/save,158,0,0
1574931403018,149,Save API HTTP Request,200,OK,1. Save API 1-7,text,true,,287,16846,9,9,http://localhost:3343/api/v1/save,149,0,0
1574931403047,183,Save API HTTP Request,200,OK,1. Save API 1-8,text,true,,287,16846,9,9,http://localhost:3343/api/v1/save,183,0,1
1574931403099,147,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16846,10,10,http://localhost:3343/api/v1/save,147,0,0
1574931403091,158,Save API HTTP Request,200,OK,1. Save API 1-6,text,true,,287,16846,10,10,http://localhost:3343/api/v1/save,158,0,0
1574931403138,127,Save API HTTP Request,200,OK,1. Save API 1-5,text,true,,287,16846,10,10,http://localhost:3343/api/v1/save,127,0,0
1574931403141,126,Save API HTTP Request,200,OK,1. Save API 1-3,text,true,,287,16846,10,10,http://localhost:3343/api/v1/save,126,0,0
1574931403156,114,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16846,10,10,http://localhost:3343/api/v1/save,114,0,0
1574931403131,220,Save API HTTP Request,200,OK,1. Save API 1-9,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,220,0,1
1574931403167,185,Save API HTTP Request,200,OK,1. Save API 1-4,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,185,0,0
1574931403168,185,Save API HTTP Request,200,OK,1. Save API 1-7,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,185,0,0
1574931403231,130,Save API HTTP Request,200,OK,1. Save API 1-8,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,130,0,0
1574931403247,115,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,115,0,0
1574931403249,124,Save API HTTP Request,200,OK,1. Save API 1-6,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,124,0,0
1574931403267,149,Save API HTTP Request,200,OK,1. Save API 1-3,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,149,0,0
1574931403241,177,Save API HTTP Request,200,OK,1. Save API 1-10,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,177,0,1
1574931403266,156,Save API HTTP Request,200,OK,1. Save API 1-5,text,true,,287,16846,11,11,http://localhost:3343/api/v1/save,156,0,0
1574931403271,167,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16846,12,12,http://localhost:3343/api/v1/save,167,0,0
1574931403345,146,Save API HTTP Request,200,OK,1. Save API 1-11,text,true,,287,16846,12,12,http://localhost:3343/api/v1/save,146,0,1
1574931403352,141,Save API HTTP Request,200,OK,1. Save API 1-9,text,true,,287,16846,12,12,http://localhost:3343/api/v1/save,141,0,0
1574931403352,144,Save API HTTP Request,200,OK,1. Save API 1-4,text,true,,287,16846,12,12,http://localhost:3343/api/v1/save,144,0,0
1574931403363,142,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16846,12,12,http://localhost:3343/api/v1/save,142,0,0
1574931403353,153,Save API HTTP Request,200,OK,1. Save API 1-7,text,true,,287,16846,12,12,http://localhost:3343/api/v1/save,153,0,0
1574931403362,145,Save API HTTP Request,200,OK,1. Save API 1-8,text,true,,287,16846,12,12,http://localhost:3343/api/v1/save,145,0,0
1574931403373,179,Save API HTTP Request,200,OK,1. Save API 1-6,text,true,,287,16846,13,13,http://localhost:3343/api/v1/save,179,0,0
1574931403423,156,Save API HTTP Request,200,OK,1. Save API 1-5,text,true,,287,16846,13,13,http://localhost:3343/api/v1/save,156,0,0
1574931403428,152,Save API HTTP Request,200,OK,1. Save API 1-12,text,true,,287,16846,13,13,http://localhost:3343/api/v1/save,151,0,1
1574931403419,163,Save API HTTP Request,200,OK,1. Save API 1-10,text,true,,287,16846,13,13,http://localhost:3343/api/v1/save,163,0,0
1574931403417,168,Save API HTTP Request,200,OK,1. Save API 1-3,text,true,,287,16846,13,13,http://localhost:3343/api/v1/save,168,0,0
1574931403439,152,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16846,13,13,http://localhost:3343/api/v1/save,152,0,0
