timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1576766616551,33,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16843,1,1,http://localhost:3343/api/v1/save,33,0,0
1576766616585,11,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16843,1,1,http://localhost:3343/api/v1/save,11,0,0
1576766616597,8,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16843,1,1,http://localhost:3343/api/v1/save,8,0,0
1576766616605,19,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16843,2,2,http://localhost:3343/api/v1/save,19,0,0
1576766616611,23,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16843,2,2,http://localhost:3343/api/v1/save,23,0,0
1576766616625,21,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16843,2,2,http://localhost:3343/api/v1/save,21,0,0
1576766616635,23,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16843,2,2,http://localhost:3343/api/v1/save,23,0,0
1576766616646,19,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16843,2,2,http://localhost:3343/api/v1/save,19,0,0
1576766616658,28,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16843,3,3,http://localhost:3343/api/v1/save,28,0,0
1576766616666,33,Save API HTTP Request,200,OK,1. Save API 1-1,text,true,,287,16843,3,3,http://localhost:3343/api/v1/save,33,0,0
1576766616672,41,Save API HTTP Request,200,OK,1. Save API 1-3,text,true,,287,16843,3,3,http://localhost:3343/api/v1/save,41,0,0
1576766616686,35,Save API HTTP Request,200,OK,1. Save API 1-2,text,true,,287,16843,3,3,http://localhost:3343/api/v1/save,35,0,0
1576766626760,15,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,15,0,0
1576766626775,9,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,9,0,0
1576766625304,1490,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,1490,0,0
1576766626785,12,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,12,0,0
1576766625120,1679,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,1679,0,0
1576766622078,4726,Save API HTTP Request,200,OK,1. Save API 1-92,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,4726,0,0
1576766626794,15,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,15,0,0
1576766626797,16,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,16,0,0
1576766626799,15,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,169,169,http://localhost:3343/api/v1/save,15,0,0
1576766626810,14,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,14,0,0
1576766626804,21,Save API HTTP Request,200,OK,1. Save API 1-92,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,21,0,0
1576766626813,14,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,14,0,0
1576766626814,18,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,18,0,0
1576766617097,9743,Save API HTTP Request,200,OK,1. Save API 1-10,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,9743,0,0
1576766626824,19,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,19,0,0
1576766626825,18,Save API HTTP Request,200,OK,1. Save API 1-92,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,18,0,0
1576766626820,27,Save API HTTP Request,200,OK,1. Save API 1-170,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,27,0,0
1576766626832,19,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,19,0,0
1576766626827,25,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,25,0,0
1576766621654,5206,Save API HTTP Request,200,OK,1. Save API 1-85,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,5206,0,1
1576766626840,29,Save API HTTP Request,200,OK,1. Save API 1-10,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,29,0,0
1576766626843,31,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,31,0,0
1576766626843,33,Save API HTTP Request,200,OK,1. Save API 1-92,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,33,0,0
1576766626852,27,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,27,0,0
1576766626847,33,Save API HTTP Request,200,OK,1. Save API 1-170,text,true,,287,16843,170,170,http://localhost:3343/api/v1/save,33,0,0
1576766626851,30,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,30,0,0
1576766626860,21,Save API HTTP Request,200,OK,1. Save API 1-85,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,21,0,0
1576766626876,20,Save API HTTP Request,200,OK,1. Save API 1-92,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,20,0,0
1576766626879,22,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,22,0,0
1576766626875,29,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,29,0,0
1576766626869,36,Save API HTTP Request,200,OK,1. Save API 1-10,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,36,0,0
1576766626881,27,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,27,0,0
1576766626882,26,Save API HTTP Request,200,OK,1. Save API 1-85,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,26,0,0
1576766623234,3675,Save API HTTP Request,200,OK,1. Save API 1-111,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,3675,0,0
1576766626880,30,Save API HTTP Request,200,OK,1. Save API 1-170,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,30,0,0
1576766618374,8542,Save API HTTP Request,200,OK,1. Save API 1-31,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,8542,0,0
1576766626881,43,Save API HTTP Request,200,OK,1. Save API 1-171,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,43,0,0
1576766626901,38,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,38,0,0
1576766626904,35,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,171,171,http://localhost:3343/api/v1/save,35,0,0
1576766626896,47,Save API HTTP Request,200,OK,1. Save API 1-92,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,47,0,0
1576766626908,37,Save API HTTP Request,200,OK,1. Save API 1-85,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,37,0,0
1576766626910,36,Save API HTTP Request,200,OK,1. Save API 1-170,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,36,0,0
1576766626905,42,Save API HTTP Request,200,OK,1. Save API 1-10,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,42,0,0
1576766626909,64,Save API HTTP Request,200,OK,1. Save API 1-111,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,64,0,0
1576766626916,58,Save API HTTP Request,200,OK,1. Save API 1-31,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,58,0,0
1576766626908,66,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,66,0,0
1576766625424,1551,Save API HTTP Request,200,OK,1. Save API 1-147,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,1551,0,0
1576766626939,55,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,55,0,0
1576766626940,55,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,55,0,0
1576766626943,52,Save API HTTP Request,200,OK,1. Save API 1-92,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,52,0,0
1576766626924,76,Save API HTTP Request,200,OK,1. Save API 1-171,text,true,,287,16843,172,172,http://localhost:3343/api/v1/save,76,0,0
1576766626945,58,Save API HTTP Request,200,OK,1. Save API 1-85,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,58,0,0
1576766626946,58,Save API HTTP Request,200,OK,1. Save API 1-170,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,58,0,0
1576766626947,57,Save API HTTP Request,200,OK,1. Save API 1-10,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,57,0,0
1576766625909,1097,Save API HTTP Request,200,OK,1. Save API 1-155,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,1097,0,0
1576766626941,75,Save API HTTP Request,200,OK,1. Save API 1-172,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,74,0,0
1576766626975,46,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,46,0,0
1576766626974,47,Save API HTTP Request,200,OK,1. Save API 1-31,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,47,0,0
1576766626973,50,Save API HTTP Request,200,OK,1. Save API 1-111,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,50,0,0
1576766626976,47,Save API HTTP Request,200,OK,1. Save API 1-147,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,47,0,0
1576766626995,46,Save API HTTP Request,200,OK,1. Save API 1-92,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,46,0,0
1576766626995,46,Save API HTTP Request,200,OK,1. Save API 1-145,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,46,0,0
1576766626994,48,Save API HTTP Request,200,OK,1. Save API 1-169,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,48,0,0
1576766627016,33,Save API HTTP Request,200,OK,1. Save API 1-172,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,33,0,0
1576766627003,47,Save API HTTP Request,200,OK,1. Save API 1-85,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,47,0,0
1576766627006,44,Save API HTTP Request,200,OK,1. Save API 1-155,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,44,0,0
1576766627002,49,Save API HTTP Request,200,OK,1. Save API 1-173,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,49,0,0
1576766627004,47,Save API HTTP Request,200,OK,1. Save API 1-170,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,47,0,0
1576766627004,48,Save API HTTP Request,200,OK,1. Save API 1-10,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,48,0,0
1576766627000,55,Save API HTTP Request,200,OK,1. Save API 1-171,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,55,0,0
1576766627021,39,Save API HTTP Request,200,OK,1. Save API 1-142,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,39,0,0
1576766627021,39,Save API HTTP Request,200,OK,1. Save API 1-31,text,true,,287,16843,173,173,http://localhost:3343/api/v1/save,39,0,0
